,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Southern California,Southern California,LOC,0.00000000,0.00000000,en,1.00000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Central Hungary,Central Hungary,LOC,0.01666667,0.37916667,en,1.00000000,4078541-5,719819,A,47.00000000,20.00000000,EUROPE,Hungary,WCE
Northern,Northern,LOC,0.01666667,0.37916667,en,1.00000000,,0,,,,,,
Somogy county,Somogy county,GPE,0.10000000,0.40000000,en,1.00000000,,3045226,A,46.41667000,17.58333000,EUROPE,Hungary,WCE
arctic,arctic,LOC,-0.24166667,1.00000000,en,1.00000000,,0,,,,,,
the Big Island,the Big Island,LOC,0.04444444,0.47777778,en,1.00000000,,4747418,P,37.53375000,-79.35975000,NORTH-AMERICA,United States,ENA
Romania,Romania,GPE,0.50000000,0.55000000,en,1.00000000,4050939-4,798549,A,46.00000000,25.00000000,EUROPE,Romania,WCE
Central,Central,LOC,0.07083333,0.44583333,en,1.00000000,,0,,,,,,
Eastern Europe,Eastern Europe,LOC,0.07083333,0.44583333,en,1.00000000,,0,,,,,,
May.,May.,GPE,0.08714286,0.46809524,en,1.00000000,,3489523,P,17.96454000,-77.24515000,CENTRAL-AMERICA,Jamaica,CAR
Maps,Maps,LOC,0.00000000,0.00000000,en,1.00000000,,11428216,P,5.68476000,-0.04011000,AFRICA,Ghana,WAF
Maldives,Maldives,GPE,0.00000000,0.50000000,en,1.00000000,4037212-1,1282028,A,3.20000000,73.00000000,INDIAN,Maldives,EIO
Kilauea,Kilauea,GPE,0.04444444,0.47777778,en,1.00000000,4241215-8,5849346,P,22.21208000,-159.41342000,PACIFIC,United States,NPO
El Niño,El Niño,GPE,0.00000000,0.00000000,en,1.00000000,,12513655,L,-0.90231000,-89.52853000,PACIFIC,Ecuador,EPO
New Zealand,New Zealand,GPE,0.13636364,0.45454545,en,1.00000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
west winds,west winds,LOC,0.00000000,0.00000000,en,1.00000000,,5677024,H,48.52385000,-113.46532000,NORTH-AMERICA,United States,WNA
West,West,LOC,-0.50000000,1.00000000,en,1.00000000,,11887751,L,42.77268000,-116.95790000,NORTH-AMERICA,United States,WNA
France,France,GPE,0.07222222,0.36666667,en,1.00000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Balaton,Balaton,GPE,-0.01666667,0.29583333,en,1.00000000,4046313-8,3055597,H,46.83333000,17.75000000,EUROPE,Hungary,WCE
Moscow,Moscow,GPE,0.03333333,0.30000000,en,1.00000000,4074987-3,524901,P,55.75204000,37.61781000,EUROPE,Russia,WCE
Western Transdanubia,Western Transdanubia,LOC,0.08333333,0.11111111,en,1.00000000,,0,,,,,,
Nyírtasson,Nyírtasson,GPE,-0.36666667,0.50000000,en,1.00000000,,0,,,,,,
Singapore,Singapore,GPE,0.04000000,0.16000000,en,1.00000000,4055089-8,1880252,P,1.28967000,103.85007000,ASIA,Singapore,SEA
Montenegro,Montenegro,GPE,0.30000000,0.90000000,en,1.00000000,4040163-7,3194884,A,42.75000000,19.25000000,EUROPE-AFRICA,Montenegro,MED
aurora borealis,aurora borealis,LOC,0.50000000,0.50000000,en,1.00000000,,8125128,S,58.59278000,-134.86278000,NORTH-AMERICA,United States,NWN
Zaporizhzhya,Zaporizhzhya,GPE,0.00000000,0.00000000,en,1.00000000,4288530-9,687700,P,47.85167000,35.11714000,EUROPE,Ukraine,WCE
Saudi Arabia,Saudi Arabia,GPE,0.25357143,0.48214286,en,1.00000000,4051788-3,102358,A,25.00000000,45.00000000,ASIA,Saudi Arabia,ARP
Kiev,Kiev,GPE,0.00000000,0.00000000,en,1.00000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Catalonia,Catalonia,GPE,-0.50000000,0.68750000,en,1.00000000,4029916-8,3336901,X,41.82045900,1.86768000,EUROPE-AFRICA,Spain,MED
the Erzsébet Lookout,the Erzsébet Lookout,LOC,-0.12500000,0.37500000,en,1.00000000,,0,,,,,,
Erzsébet,Erzsébet,GPE,-0.23750000,0.59375000,en,1.00000000,,3053195,P,46.10038000,18.45669000,EUROPE,Hungary,WCE
Western Hungary,Western Hungary,LOC,0.00000000,0.00000000,en,1.00000000,,147739,H,39.37283000,46.67975000,ASIA,Azerbaijan,WCA
Northern Transdanubia,Northern Transdanubia,GPE,0.21666667,0.27777778,en,1.00000000,,0,,,,,,
New Jersey,New Jersey,GPE,0.13636364,0.45454545,en,1.00000000,4442932-0,5099836,P,40.72816000,-74.07764000,NORTH-AMERICA,United States,ENA
Asia,Asia,LOC,0.20000000,0.30000000,en,1.00000000,,0,,,,,,
Baghdad,Baghdad,GPE,0.00000000,0.00000000,en,1.00000000,4004237-6,98182,P,33.34058000,44.40088000,ASIA,Iraq,WCA
Afghanistan,Afghanistan,GPE,-0.07500000,0.32500000,en,1.00000000,4000687-6,1149361,A,33.00000000,66.00000000,ASIA,Afghanistan,WCA
Iraq,Iraq,GPE,0.00000000,0.00000000,en,1.00000000,4072920-5,99237,A,33.00000000,44.00000000,ASIA,Iraq,WCA
the Northern Territory,the Northern Territory,LOC,-0.12500000,0.37500000,en,1.00000000,,4714582,P,29.59412000,-95.68078000,NORTH-AMERICA,United States,CNA
Australia,Australia,GPE,-0.12500000,0.37500000,en,1.00000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
Chicago,Chicago,GPE,-0.12500000,0.76666667,en,1.00000000,4009921-0,4887398,P,41.85003000,-87.65005000,NORTH-AMERICA,United States,ENA
Kenya,Kenya,GPE,-1.00000000,1.00000000,en,1.00000000,4030236-2,192950,A,1.00000000,38.00000000,AFRICA,Kenya,SEAF
Bakony,Bakony,GPE,0.00000000,0.00000000,en,1.00000000,4004293-5,3055651,T,47.25000000,17.83333000,EUROPE,Hungary,WCE
Zagreb,Zagreb,GPE,0.00000000,0.00000000,en,1.00000000,10159443-4,3186886,P,45.81444000,15.97798000,EUROPE,Croatia,WCE
Bosnia-Herzegovina,Bosnia-Herzegovina,GPE,-0.20000000,0.50000000,en,1.00000000,4088119-2,3277605,A,44.25000000,17.83333000,EUROPE-AFRICA,Bosnia and Herzegovina,MED
Lebanon,Lebanon,GPE,-0.06250000,0.18750000,en,1.00000000,4035567-6,272103,A,33.83333000,35.83333000,EUROPE-AFRICA,Lebanon,MED
the Litani River,the Litani River,LOC,-0.06250000,0.18750000,en,1.00000000,,3383695,H,3.30000000,-54.10000000,SOUTH-AMERICA,French Guiana,NSA
Iran,Iran,GPE,0.25000000,0.75000000,en,1.00000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Easter,Easter,GPE,0.32380952,0.65238095,en,1.00000000,,0,,,,,,
Fidesz,Fidesz,GPE,0.00000000,0.10000000,en,1.00000000,,0,,,,,,
